95.56,81.29,72.934,721.43,802.29,312.17
95.313,78.672,73.203,707.03,786.72,324.23
103.28,83.32,71.836,414.06,400,963.2
97.336,78.656,68.976,744.53,790.38,310.75
95.709,81.944,69.476,752.37,815.42,298.31
104.84,80.586,83.867,1000,400,2065.2
110,100,65,700,700,4109.6
97.491,79.03,68.905,675.5,748.65,313.66
98.356,81.029,68.656,736.02,757.38,329.2
86.592,79.01,98.181,999.73,560.44,1555.8
95.156,77.578,73.75,753.91,791.41,322.19
104.38,84.688,93.438,641.41,400,729.22
98.125,80.039,78.945,793.75,737.5,371.87
70,100,30,1000,1000,10141
106.85,92.093,85.868,757.55,815.44,1937
70,30,79.283,1000,1000,12565
90,39.023,73.75,414.06,402.34,5650.4
104.6,65.177,61.03,792.09,682.95,1744.5
89.688,100,91.25,737.5,796.09,592.02
97.656,83.047,84.141,617.97,421.09,1204.4
70,65,30,700,1000,9184.3
106.25,73.75,90.703,566.41,400,667.51
94.535,79.922,68.445,705.77,797.37,345.69
95.469,84.141,78.125,709.38,873.44,722.4
91.178,77.767,88.591,992.36,856.13,404.22
110,100,100,700,400,547.92
90,65,65,700,700,1070.4
90.781,85.508,83.867,657.81,400,1958.6
105.16,45.586,30,1000,1000,9099.1
91.426,100,93.54,1000,1000,588.32
101.09,84.414,88.516,594.53,477.34,670.96
90.957,86.26,82.944,605.96,713.48,811.52
99.125,71.781,63.469,780.63,820,1134.7
101.18,98.34,92.427,759.6,829.91,1078.7
110,60.256,100,1000,1000,7944.9
94.941,82.662,75.135,722.15,807.59,327.01
98.594,86.875,74.844,770.31,758.59,393.81
99.64,76.316,71.134,758.17,793.78,541.27
94.844,99.453,89.609,723.44,803.13,399.79
70,35.2,88.622,400,1000,12160
110,65,100,400,400,600.35
83.422,88.566,75.921,858.42,935.67,919.87
90,100,30,400,400,4926.7
70,98.713,43.308,400.02,400,4801.7
94.268,81.718,73.289,723.14,814.07,332.99
95,92.07,68.555,803.13,845.31,1344.6
99.868,68.925,67.638,795.62,832.31,1301.9
94.997,80.766,76.906,779.87,799.89,330.75
94.844,76.177,71.836,756.25,789.06,319.38
94.063,100,100,819.53,744.53,435.14
94.529,83.289,69.569,746.92,778.5,352.68
101,45.278,30,1000,1000,8891
90,100,30,400,400,4926.7
96.875,100,91.25,775,721.09,401.84
101.09,84.414,88.516,594.53,535.94,502.81
103.1,93.981,89.075,758.45,824.07,1225
94.378,82.383,71.713,733.21,799,328.22
90,65,30,400,1000,7248.6
108.13,75.664,90.156,414.06,402.34,652.94
70,30,30,400,1000,11755
83.63,86.412,75.949,849.13,918.76,963.97
107.97,100,31.914,847.66,725.78,8420.8
96.25,76.758,72.109,810.16,615.63,557.04
70,100,30,1000,1000,10141
70,65,100,400,400,4619.1
95,76.484,73.203,751.56,739.84,382.55
94.219,90.703,82.5,728.13,784.38,380.64
96.078,87.595,66.525,699.9,760.7,680.02
102.97,84.414,100,782.03,400,764.35
105.16,45.586,30,1000,1000,9099.1
96.956,78.346,69.256,776.67,717.54,325.73
94.512,83.115,64.521,663.09,726.95,546.3
86.866,85.612,85.753,774.77,756.25,954.99
97.767,76.999,68.748,753.23,797.52,333.58
95.293,89.268,80.415,752.15,857.03,385.08
73.457,30,54.507,851.17,1000,12195
105.63,94.805,100,995.31,430.47,1558.9
98.125,74.023,73.477,782.03,681.25,345.04
94.258,81.714,73.306,723.14,813.96,333.24
99.781,77.712,72.428,725.04,755,455.3
96.681,84.522,77.387,673.56,798.86,700.26
95.156,80.859,72.93,753.91,791.41,323.96
110,65,100,1000,400,1271.4
